Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Mar 31, 2017, 3:00:00 AM",18,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 18 (Land)"
"Mar 31, 2017, 3:00:00 AM",19,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 19 (Land)"
"Mar 31, 2017, 3:00:00 AM",20,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 20 (Land)"
"Mar 31, 2017, 3:00:00 AM",21,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 21 (Land)"
"Mar 31, 2017, 3:00:00 AM",22,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 22 (Land)"
"Mar 31, 2017, 3:00:00 AM",23,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 23 (Land)"
"Mar 31, 2017, 3:00:00 AM",24,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 24 (Land)"
"Mar 31, 2017, 3:00:00 AM",25,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-03-31
Σημείο: 25 (Water)
AreaBGR: 61897.964"
"Mar 31, 2017, 3:00:00 AM",26,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 26 (Land)"
"Mar 31, 2017, 3:00:00 AM",27,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-03-31
Σημείο: 27 (Water)
AreaBGR: 58022.964"
"Mar 31, 2017, 3:00:00 AM",28,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 28 (Land)"
"Mar 31, 2017, 3:00:00 AM",29,point { size: 7; fill-color: #006ECE; },"Ημ/νία: 2017-03-31
Σημείο: 29 (Water)
AreaBGR: 59147.964"
"Mar 31, 2017, 3:00:00 AM",30,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 30 (Land)"
"Mar 31, 2017, 3:00:00 AM",31,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 31 (Land)"
"Mar 31, 2017, 3:00:00 AM",32,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 32 (Land)"
"Mar 31, 2017, 3:00:00 AM",33,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 33 (Land)"
"Mar 31, 2017, 3:00:00 AM",34,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 34 (Land)"
"Mar 31, 2017, 3:00:00 AM",35,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 35 (Land)"
"Mar 31, 2017, 3:00:00 AM",36,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 36 (Land)"
"Mar 31, 2017, 3:00:00 AM",37,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 37 (Land)"
"Mar 31, 2017, 3:00:00 AM",38,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 38 (Land)"
"Mar 31, 2017, 3:00:00 AM",39,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 39 (Land)"
"Mar 31, 2017, 3:00:00 AM",40,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 40 (Land)"
"Mar 31, 2017, 3:00:00 AM",41,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 41 (Land)"
"Mar 31, 2017, 3:00:00 AM",42,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 42 (Land)"
"Mar 31, 2017, 3:00:00 AM",43,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 43 (Land)"
"Mar 31, 2017, 3:00:00 AM",44,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 44 (Land)"
"Mar 31, 2017, 3:00:00 AM",45,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 45 (Land)"
"Mar 31, 2017, 3:00:00 AM",46,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 46 (Land)"
"Mar 31, 2017, 3:00:00 AM",47,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 47 (Land)"
"Mar 31, 2017, 3:00:00 AM",48,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 48 (Land)"
"Mar 31, 2017, 3:00:00 AM",49,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 49 (Land)"
"Apr 15, 2017, 3:00:00 AM",0,point { size: 7; fill-color: #0063C3; },"Ημ/νία: 2017-04-15
Σημείο: 0 (Water)
AreaBGR: 56647.964"
"Apr 15, 2017, 3:00:00 AM",1,point { size: 7; fill-color: #005FC0; },"Ημ/νία: 2017-04-15
Σημείο: 1 (Water)
AreaBGR: 56272.964"
"Apr 15, 2017, 3:00:00 AM",2,point { size: 7; fill-color: #0076D5; },"Ημ/νία: 2017-04-15
Σημείο: 2 (Water)
AreaBGR: 60147.964"
"Apr 15, 2017, 3:00:00 AM",3,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 3 (Water)
AreaBGR: 57835.464"
"Apr 15, 2017, 3:00:00 AM",4,point { size: 7; fill-color: #0055B5; },"Ημ/νία: 2017-04-15
Σημείο: 4 (Water)
AreaBGR: 54272.964"
"Apr 15, 2017, 3:00:00 AM",5,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 5 (Water)
AreaBGR: 57960.464"
"Apr 15, 2017, 3:00:00 AM",6,point { size: 7; fill-color: #0045A2; },"Ημ/νία: 2017-04-15
Σημείο: 6 (Water)
AreaBGR: 50585.464"
"Apr 15, 2017, 3:00:00 AM",7,point { size: 7; fill-color: #0058B9; },"Ημ/νία: 2017-04-15
Σημείο: 7 (Water)
AreaBGR: 54522.964"
"Apr 15, 2017, 3:00:00 AM",8,point { size: 7; fill-color: #0079D9; },"Ημ/νία: 2017-04-15
Σημείο: 8 (Water)
AreaBGR: 60897.964"
"Apr 15, 2017, 3:00:00 AM",9,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 9 (Water)
AreaBGR: 57460.464"
"Apr 15, 2017, 3:00:00 AM",10,point { size: 7; fill-color: #0063C3; },"Ημ/νία: 2017-04-15
Σημείο: 10 (Water)
AreaBGR: 57147.964"
"Apr 15, 2017, 3:00:00 AM",11,point { size: 7; fill-color: #0063C3; },"Ημ/νία: 2017-04-15
Σημείο: 11 (Water)
AreaBGR: 57085.464"
"Apr 15, 2017, 3:00:00 AM",12,point { size: 7; fill-color: #004BAA; },"Ημ/νία: 2017-04-15
Σημείο: 12 (Water)
AreaBGR: 52147.964"
"Apr 15, 2017, 3:00:00 AM",13,point { size: 7; fill-color: #005FC0; },"Ημ/νία: 2017-04-15
Σημείο: 13 (Water)
AreaBGR: 56210.464"
"Apr 15, 2017, 3:00:00 AM",14,point { size: 7; fill-color: #005FC0; },"Ημ/νία: 2017-04-15
Σημείο: 14 (Water)
AreaBGR: 56397.964"
"Apr 15, 2017, 3:00:00 AM",15,point { size: 7; fill-color: #0058B9; },"Ημ/νία: 2017-04-15
Σημείο: 15 (Water)
AreaBGR: 55085.464"
"Apr 15, 2017, 3:00:00 AM",16,point { size: 7; fill-color: #005BBC; },"Ημ/νία: 2017-04-15
Σημείο: 16 (Water)
AreaBGR: 55647.964"
"Apr 15, 2017, 3:00:00 AM",17,point { size: 7; fill-color: #0058B9; },"Ημ/νία: 2017-04-15
Σημείο: 17 (Water)
AreaBGR: 54522.964"
"Apr 15, 2017, 3:00:00 AM",18,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 18 (Water)
AreaBGR: 57647.964"
"Apr 15, 2017, 3:00:00 AM",19,point { size: 7; fill-color: #006ECE; },"Ημ/νία: 2017-04-15
Σημείο: 19 (Water)
AreaBGR: 59272.964"
"Apr 15, 2017, 3:00:00 AM",20,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 20 (Water)
AreaBGR: 57335.464"
"Apr 15, 2017, 3:00:00 AM",21,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 21 (Water)
AreaBGR: 58085.464"
"Apr 15, 2017, 3:00:00 AM",22,point { size: 7; fill-color: #0051B1; },"Ημ/νία: 2017-04-15
Σημείο: 22 (Water)
AreaBGR: 53272.964"
"Apr 15, 2017, 3:00:00 AM",23,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 23 (Water)
AreaBGR: 58522.964"
"Apr 15, 2017, 3:00:00 AM",24,point { size: 7; fill-color: #004BAA; },"Ημ/νία: 2017-04-15
Σημείο: 24 (Water)
AreaBGR: 52085.464"
"Apr 15, 2017, 3:00:00 AM",25,point { size: 7; fill-color: #0055B5; },"Ημ/νία: 2017-04-15
Σημείο: 25 (Water)
AreaBGR: 53835.464"
"Apr 15, 2017, 3:00:00 AM",26,point { size: 7; fill-color: #006ECE; },"Ημ/νία: 2017-04-15
Σημείο: 26 (Water)
AreaBGR: 58710.464"
"Apr 15, 2017, 3:00:00 AM",27,point { size: 7; fill-color: #0076D5; },"Ημ/νία: 2017-04-15
Σημείο: 27 (Water)
AreaBGR: 60397.964"
"Apr 15, 2017, 3:00:00 AM",28,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 28 (Water)
AreaBGR: 57772.964"
"Apr 15, 2017, 3:00:00 AM",29,point { size: 7; fill-color: #004EAE; },"Ημ/νία: 2017-04-15
Σημείο: 29 (Water)
AreaBGR: 53022.964"
"Apr 15, 2017, 3:00:00 AM",30,point { size: 7; fill-color: #004EAE; },"Ημ/νία: 2017-04-15
Σημείο: 30 (Water)
AreaBGR: 52522.964"
"Apr 15, 2017, 3:00:00 AM",31,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-04-15
Σημείο: 31 (Water)
AreaBGR: 61647.964"
"Apr 15, 2017, 3:00:00 AM",32,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 32 (Water)
AreaBGR: 57585.464"
"Apr 15, 2017, 3:00:00 AM",33,point { size: 7; fill-color: #004EAE; },"Ημ/νία: 2017-04-15
Σημείο: 33 (Water)
AreaBGR: 52585.464"
"Apr 15, 2017, 3:00:00 AM",34,point { size: 7; fill-color: #0079D9; },"Ημ/νία: 2017-04-15
Σημείο: 34 (Water)
AreaBGR: 60897.964"
"Apr 15, 2017, 3:00:00 AM",35,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 35 (Water)
AreaBGR: 57585.464"
