date,basin_rain_monthly_bar_mm3,basin_rain_monthly_rollmean_mm3,basin_et_monthly_bar_mm3_neg,basin_et_monthly_rollmean_mm3_neg,lake_rain_monthly_bar_mm3,lake_rain_monthly_rollmean_mm3,lake_evap_monthly_bar_mm3_neg,lake_evap_monthly_rollmean_mm3_neg,lindos_basin_monthly_bar_mm3,lindos_basin_monthly_rollmean_mm3,lindos_lake_monthly_bar_mm3,lindos_lake_monthly_rollmean_mm3,emponas_basin_monthly_bar_mm3,emponas_basin_monthly_rollmean_mm3,emponas_lake_monthly_bar_mm3,emponas_lake_monthly_rollmean_mm3
2019-04-30,11.523088053496867,17.594965369924598,-18.67307366396483,-15.922674303601966,0.01240960336423312,0.019380764363705845,-0.02166673622892961,-0.018272295219446084,15.449404231152776,21.14414222069782,0.01717714608436,0.023524708289866664,38.582643467710305,35.776061720594875,0.04289309343218,0.03984894662269334
2019-05-31,1.6786727908076695,9.843245767510082,-14.92332390244846,-16.455364373398613,0.0018129373777528474,0.010625104984532225,-0.018610195229292515,-0.019364724417673288,0.7356831555800704,11.15792427035547,0.00082071952646,0.012384502093573333,1.1035247578035754,20.081525235231926,0.00123105485622,0.02230276304633334
2019-06-30,0.35878400950726996,4.520181617937269,-11.886493412058535,-15.16096365949061,0.00033812683052958804,0.004853555857505185,-0.015630270455736717,-0.018635733971319613,0.0,5.395029128910949,0.0,0.0059992885369400005,0.8583132021971389,13.51482714257034,0.0009413187604799998,0.015021822349626672
2019-07-31,0.017076354219660618,0.6848443848448666,-12.553346004125297,-13.121054439544102,0.0,0.0007170214027608118,-0.016825903622362214,-0.017022123102463815,3.106426147231253,1.2807031009371077,0.00325688099632,0.00135920017426,7.60256925506596,3.1881357383555606,0.00797078770152,0.0033810537727400045
2019-08-31,0.0,0.12528678790897688,-9.223385885915999,-11.221075100699947,0.0,0.00011270894350986268,-0.012458375149763208,-0.01497151640928738,0.0,1.0354753824104177,0.0,0.0010856269987733333,0.0,2.820294152421036,0.0,0.0029707021540000046
2019-09-30,2.794315099853006,0.9371304846908889,-7.044188366875563,-9.60697341897229,0.002393176350852525,0.000797725450284175,-0.008753169220131496,-0.012679149330752306,0.1635166214079912,1.0899809228797481,0.00015090639346,0.0011359291299266666,0.0,2.534189751688656,0.0,0.002656929233840005
2019-10-31,12.175039256479323,4.989784785444109,-9.16287840078754,-8.476817551193037,0.011348959708378199,0.004580712019743575,-0.010012252740819332,-0.010407932370238014,8.503105993959982,2.888874205122658,0.007605451715479998,0.0025854527029799995,2.207516258040011,0.7358387526800061,0.0019953672795800003,0.0006651224265266714
2019-11-30,20.869963699765876,11.946439352032735,-10.256806623478374,-8.821291130380494,0.025350775862093004,0.013030970640441243,-0.011780041296664469,-0.010181821085871767,41.65005422072337,16.77222561203045,0.04424848669632,0.01733494826842,50.11077897758093,17.43943174520698,0.05331829356386,0.01843788694781334
2019-12-31,27.0558215786117,20.033608178285633,-13.580925378839613,-11.000203467701844,0.03033295762865927,0.022344231066376823,-0.016132803735954784,-0.012641699257812862,36.13016400368991,28.761108072791085,0.040359640430799995,0.0307378596142,57.383025232799774,36.567106822806906,0.0642770255096,0.03986356211768
2020-01-31,20.26983884291607,22.731874707097877,-13.229466738123888,-12.355732913480628,0.022372258297255306,0.02601866392933586,-0.016287291415148532,-0.014733378815922597,25.339867209124314,34.3733618111792,0.02859960010062,0.037735909075913336,17.69702479876017,41.73027633638029,0.01998508574692,0.045860134940126675
2020-02-29,22.840445724332767,23.38870204862018,-12.845811310879979,-13.218734475947828,0.025272288089408124,0.0259925013384409,-0.015624979481796109,-0.016015024877633142,34.82180327766267,32.0972781634923,0.039380144046440003,0.03611312819262,42.05591024105096,39.045320090870305,0.04756128587236,0.043941132376293345
2020-03-31,14.82431256854844,19.311532378599093,-15.432761076668108,-13.836013041890661,0.016953414640596687,0.021532653675753372,-0.018616289218491903,-0.016842853371812183,7.274972242813478,22.478880909866817,0.0082327443511,0.02540416283272,18.637006197140416,26.129980412317185,0.021091972225019996,0.029546114614766666
2020-04-30,4.321712801504958,13.995490364795387,-14.8278872787062,-14.368819888751432,0.004834932112585906,0.01568687828086357,-0.018109587507202554,-0.017450285402496855,0.0408710157417028,14.045882178739282,4.586620866e-05,0.015886251535400003,2.452239582767188,21.048385340319527,0.00277333425458,0.023808864117320003
2020-05-31,2.618548111141706,7.254857827065035,-14.82242169829438,-15.027690017889563,0.0027185099464307884,0.008168952233204461,-0.019109666251497532,-0.018611847659064,3.228852859760321,3.5148987061051646,0.0035808143183399996,0.003953141626033333,5.231550662667837,8.773598814191816,0.0058102269786,0.00989184448606667
2020-06-30,0.45453657448485507,2.4649324957105065,-11.51816193380988,-13.722823636936823,0.0004816751587164422,0.0026783724059110457,-0.015228381830740797,-0.017482545196480296,1.594010152417129,1.6212446759730483,0.0017482436470199999,0.0017916413913399998,1.1852907551133613,2.9563603335161317,0.00129882144716,0.003294127560113338
2020-07-31,0.2424145362166796,1.1051664072810803,-10.26497118541981,-12.20185160584136,0.0002622998342531528,0.0011541616464667945,-0.014423567605260227,-0.016253871895832855,0.0,1.6076210040591477,0.0,0.0017763526551199998,0.0,2.138947139260402,0.0,0.0023696828085866713
